team,Actual Points,CurrentProj,CurrentDiff,CurrentFinal,OriginalFinal
ANA,0,0,-,103,103
ARI,0,0,-,78,78
BOS,0,0,-,93,93
BUF,0,0,-,81,81
CGY,0,0,-,77,77
CAR,0,0,-,86,86
CHI,0,0,-,103,103
COL,0,0,-,82,82
CBJ,0,0,-,76,76
DAL,0,0,-,109,109
DET,0,0,-,93,93
EDM,0,0,-,70,70
FLA,0,0,-,103,103
LAK,0,0,-,102,102
MIN,0,0,-,87,87
MTL,0,0,-,82,82
NSH,0,0,-,96,96
NJD,0,0,-,84,84
NYI,0,0,-,100,100
NYR,0,0,-,101,101
OTT,0,0,-,85,85
PHI,0,0,-,96,96
PIT,0,0,-,104,104
SJS,0,0,-,98,98
STL,0,0,-,107,107
TBL,0,0,-,97,97
TOR,0,0,-,69,69
VAN,0,0,-,75,75
WSH,0,0,-,120,120
WPG,0,0,-,78,78
