state,state_code,county,state_fips,county_fips,fips,team,color,county_population,biden_votes,trump_votes,total_votes,biden_pct,trump_pct
Alabama,AL,Autauga County,1,1,1001,Atlanta Braves,#13274F,55347,7503,19838,27770,0.270183651,0.714368023
Alabama,AL,Baldwin County,1,3,1003,Atlanta Braves,#13274F,203709,24578,83544,109679,0.2240903,0.761713728
Alabama,AL,Barbour County,1,5,1005,Atlanta Braves,#13274F,26489,4816,5622,10518,0.457881727,0.534512265
Alabama,AL,Bibb County,1,7,1007,Atlanta Braves,#13274F,22583,1986,7525,9595,0.206982804,0.784262637
Alabama,AL,Blount County,1,9,1009,Atlanta Braves,#13274F,57673,2640,24711,27588,0.09569378,0.895715528
Alabama,AL,Bullock County,1,11,1011,Atlanta Braves,#13274F,10696,3446,1146,4613,0.747019293,0.248428355
Alabama,AL,Butler County,1,13,1013,Atlanta Braves,#13274F,20154,3965,5458,9488,0.41789629,0.575252951
Alabama,AL,Calhoun County,1,15,1015,Atlanta Braves,#13274F,115620,15216,35101,50983,0.298452425,0.688484397
Alabama,AL,Chambers County,1,17,1017,Atlanta Braves,#13274F,34123,6365,8753,15284,0.416448574,0.572690395
Alabama,AL,Cherokee County,1,19,1019,Atlanta Braves,#13274F,25859,1624,10583,12301,0.132021787,0.860336558
Alabama,AL,Chilton County,1,21,1021,Atlanta Braves,#13274F,43943,3073,16085,19310,0.159140342,0.832988089
Alabama,AL,Choctaw County,1,23,1023,Atlanta Braves,#13274F,13170,3127,4296,7464,0.418944266,0.575562701
Alabama,AL,Clarke County,1,25,1025,Atlanta Braves,#13274F,24675,5755,7324,13135,0.438142368,0.557594214
Alabama,AL,Clay County,1,27,1027,Atlanta Braves,#13274F,13555,1267,5601,6930,0.182828283,0.808225108
Alabama,AL,Cleburne County,1,29,1029,Atlanta Braves,#13274F,15018,675,6484,7227,0.093399751,0.897191089
Alabama,AL,Coffee County,1,31,1031,Atlanta Braves,#13274F,51211,5076,16899,22275,0.227878788,0.758653199
Alabama,AL,Colbert County,1,33,1033,Atlanta Braves,#13274F,54354,8343,19203,27886,0.299182385,0.688625117
Alabama,AL,Conecuh County,1,35,1035,Atlanta Braves,#13274F,12672,2966,3442,6441,0.460487502,0.53438907
Alabama,AL,Coosa County,1,37,1037,Atlanta Braves,#13274F,10724,1796,3631,5479,0.327797043,0.662712174
Alabama,AL,Covington County,1,39,1039,Atlanta Braves,#13274F,37835,2721,14586,17430,0.156110155,0.836833046
Alabama,AL,Crenshaw County,1,41,1041,Atlanta Braves,#13274F,13963,1700,4864,6617,0.256914009,0.735076319
Alabama,AL,Cullman County,1,43,1043,Atlanta Braves,#13274F,82005,4478,36880,41851,0.106998638,0.881221476
Alabama,AL,Dale County,1,45,1045,Atlanta Braves,#13274F,49565,5170,14303,19738,0.2619313,0.724642821
Alabama,AL,Dallas County,1,47,1047,Atlanta Braves,#13274F,41131,12230,5524,17864,0.684617107,0.309225258
Alabama,AL,DeKalb County,1,49,1049,Atlanta Braves,#13274F,71130,4281,24767,29356,0.145830495,0.843677613
Alabama,AL,Elmore County,1,51,1051,Atlanta Braves,#13274F,81468,10367,30164,41030,0.252668779,0.735169388
Alabama,AL,Escambia County,1,53,1053,Atlanta Braves,#13274F,37789,4918,10869,15910,0.309113765,0.683155248
Alabama,AL,Etowah County,1,55,1055,Atlanta Braves,#13274F,103057,11567,35528,47728,0.242352497,0.744384847
Alabama,AL,Fayette County,1,57,1057,Atlanta Braves,#13274F,16759,1395,7300,8766,0.159137577,0.832762948
Alabama,AL,Franklin County,1,59,1059,Atlanta Braves,#13274F,31696,2086,10376,12578,0.165845126,0.824932422
Alabama,AL,Geneva County,1,61,1061,Atlanta Braves,#13274F,26777,1595,10848,12545,0.127142288,0.864726983
Alabama,AL,Greene County,1,63,1063,Atlanta Braves,#13274F,8479,3884,875,4775,0.813403141,0.183246073
Alabama,AL,Hale County,1,65,1065,Atlanta Braves,#13274F,15068,4687,3190,7922,0.591643524,0.402676092
Alabama,AL,Henry County,1,67,1067,Atlanta Braves,#13274F,17221,2606,6607,9298,0.280275328,0.710582921
Alabama,AL,Houston County,1,69,1069,Atlanta Braves,#13274F,104173,12917,32618,46173,0.279752236,0.706430165
Alabama,AL,Jackson County,1,71,1071,Atlanta Braves,#13274F,52419,3717,19670,23636,0.157260112,0.832205111
Alabama,AL,Jefferson County,1,73,1073,Atlanta Braves,#13274F,660367,181688,138843,325848,0.557585132,0.426097444
Alabama,AL,Lamar County,1,75,1075,Atlanta Braves,#13274F,13886,978,6174,7193,0.135965522,0.858334492
