title,release_date,metacritic_score
A Separation,2011-12-30,95
We Were Here,2011-09-09,94
Nostalgia for the Light,2011-03-18,91
My Perestroika,2011-03-23,90
The Artist,2011-11-23,89
The Arbor,2011-04-27,88
Poetry,2011-02-11,87
"I Travel Because I Have to, I Come Back Because I Love You",2011-03-25,87
Uncle Boonmee Who Can Recall His Past Lives,2011-03-04,87
The Autobiography of Nicolae Ceausescu,2011-09-09,87
Moneyball,2011-09-23,87
Cave of Forgotten Dreams,2011-04-29,86
Of Gods and Men,2011-02-25,86
The Interrupters,2011-07-29,86
Harry Potter and the Deathly Hallows: Part 2,2011-07-15,85
Take Shelter,2011-09-30,85
City of Life and Death,2011-05-11,85
Tinker Tailor Soldier Spy,2011-12-09,85
The Wages of Fear (1953),2011-12-09,85
The Tree of Life,2011-05-27,85
Meek's Cutoff,2011-04-08,85
The Descendants,2011-11-16,84
13 Assassins,2011-04-29,84
Project Nim,2011-07-08,83
Pina,2011-12-23,83
Hugo ,2011-11-23,83
The Trip,2011-06-10,82
Certified Copy,2011-03-11,82
Le Havre,2011-10-21,82
To Be Heard,2011-10-14,82
Mysteries of Lisbon,2011-08-05,82
My Joy,2011-09-30,81
Beginners,2011-06-03,81
Weekend,2011-09-23,81
Thunder Soul,2011-09-23,81
Melancholia,2011-11-11,81
Hell and Back Again,2011-10-01,81
Midnight in Paris,2011-05-20,81
"Tuesday, After Christmas",2011-05-27,81
Incendies,2011-04-22,80
The Mill and the Cross,2011-09-14,80
The Four Times (Le Quattro Volte),2011-03-30,80
Senna,2011-08-12,79
Pariah,2011-12-28,79
Coriolanus,2011-12-02,79
Drive,2011-09-16,79
Miss Bala,2011-10-14,79
Public Speaking,2011-02-23,78
Putty Hill,2011-02-18,78
The Guard,2011-07-29,78
The Princess of Montpensier,2011-04-15,78
Love Exposure,2011-09-02,78
Sholem Aleichem: Laughing in the Darkness,2011-07-06,77
Benda Bilili!,2011-09-30,77
Circo,2011-04-01,77
Louder Than a Bomb,2011-05-18,77
Bill Cunningham New York,2011-03-16,76
Beats Rhymes & Life: The Travels of a Tribe Called Quest,2011-07-08,76
Rebirth,2011-09-02,76
Jane Eyre,2011-03-11,76
Buck,2011-06-17,76
Silent Souls,2011-09-16,76
Margin Call,2011-10-21,76
World on a Wire (1973),2011-07-22,76
Bobby Fischer Against the World,2011-09-09,76
A Dangerous Method,2011-11-23,76
Submarine,2011-06-03,76
Loveless,2011-02-18,75
Rango,2011-03-04,75
Martha Marcy May Marlene,2011-10-21,75
House of Pleasures,2011-11-25,75
Attack the Block,2011-07-29,75
Win Win,2011-03-18,75
Bridesmaids,2011-05-13,75
The Muppets,2011-11-23,75
Detective Dee and the Mystery of the Phantom Flame,2011-09-02,75
The Desert of Forbidden Art,2011-03-11,75
Caterpillar,2011-05-06,75
Point Blank,2011-07-29,75
The Woodmans,2011-01-19,74
Tabloid,2011-07-15,74
Bombay Beach,2011-10-14,74
Tomboy,2011-11-16,74
The Time That Remains,2011-01-07,74
Winnie the Pooh,2011-07-15,74
Higher Ground,2011-08-26,74
Into the Abyss,2011-11-11,74
Source Code,2011-04-01,74
Under Fire: Journalists in Combat,2011-11-05,74
You Don't Like the Truth: 4 Days Inside Guantanamo,2011-09-30,73
Khodorkovsky,2011-11-30,73
I'm Glad My Mother Is Alive,2011-09-02,73
Mission: Impossible - Ghost Protocol,2011-12-16,73
The Black Power Mixtape 1967-1975,2011-09-09,73
Iron Crows,2011-08-26,72
Phil Ochs: There But for Fortune,2011-01-05,72
A Screaming Man,2011-04-13,72
Crime After Crime,2011-07-01,72
Rejoice and Shout,2011-06-03,72
Lovers of Hate,2011-02-11,72
Bellflower,2011-08-05,72
50/50,2011-09-30,72
War Horse,2011-12-25,72
Super 8,2011-06-10,72
Armadillo,2011-04-15,72
Shame,2011-12-02,72
Terri,2011-07-01,72
Daylight,2011-07-15,72
The Double Hour,2011-04-15,72
Being Elmo: A Puppeteer's Journey,2011-10-21,71
Leap Year,2011-06-24,71
Cameraman: The Life and Work of Jack Cardiff,2011-05-13,71
One Lucky Elephant,2011-06-08,71
Battle for Brooklyn,2011-06-17,71
Mozart's Sister,2011-08-19,71
Rapt,2011-07-06,71
Black Death,2011-03-11,71
Young Adult,2011-12-09,71
"The Man Nobody Knew: In Search of My Father, CIA Spymaster William Colby",2011-09-23,71
Making the Boys,2011-03-11,71
The Girl with the Dragon Tattoo,2011-12-20,71
Warrior,2011-09-09,71
I Will Follow,2011-03-11,71
Strongman,2011-01-26,71
Elite Squad: The Enemy Within,2011-11-11,71
Dragonslayer,2011-11-04,71
The Yellow Sea,2011-12-02,70
The Last Circus,2011-08-19,70
Passione,2011-06-22,70
Blank City,2011-04-06,70
Heartbeats,2011-02-25,70
The Skin I Live In,2011-10-14,70
Queen to Play,2011-04-01,70
!Women Art Revolution,2011-06-01,70
Contagion,2011-09-09,70
Cedar Rapids,2011-02-11,70
The Last Lions,2011-02-18,69
The Sleeping Beauty,2011-07-08,69
Arthur Christmas,2011-11-23,69
Beautiful Darling,2011-04-22,69
Everyday Sunshine: The Story of Fishbone,2011-10-07,69
Even the Rain (Tambien la Lluvia),2011-02-11,69
The Elephant in the Living Room,2011-04-08,69
Romantics Anonymous,2011-11-25,69
The Company Men,2011-01-21,69
3 Backyards,2011-03-11,69
Like Crazy,2011-10-28,68
A Somewhat Gentle Man,2011-01-14,68
Applause,2011-01-21,68
Addiction Incorporated,2011-12-14,68
"Crazy, Stupid, Love",2011-07-29,68
Potiche,2011-03-25,68
The Adventures of Tintin,2011-12-21,68
Paul Goodman Changed My Life,2011-10-19,68
We Need to Talk About Kevin,2011-12-09,68
To Die Like a Man,2011-04-08,68
Tales from the Golden Age,2011-08-26,68
Rise of the Planet of the Apes,2011-08-05,68
Page One: A Year Inside the New York Times,2011-06-17,68
The Housemaid,2011-01-21,68
Into Eternity,2011-02-02,68
Kung Fu Panda 2,2011-05-26,67
Queen of the Sun: What Are the Bees Telling Us?,2011-06-10,67
Elevate,2011-10-21,67
Ip Man 2,2011-01-28,67
The Ides of March,2011-10-07,67
London River,2011-12-09,67
Garbo: The Spy,2011-11-18,67
The Myth of the American Sleepover,2011-07-22,67
Pianomania,2011-11-04,67
Barney's Version,2011-01-14,67
Outrage,2011-12-02,67
In Heaven Underground: The Weissensee Jewish Cemetery,2011-11-18,67
The Future,2011-07-29,67
I Saw the Devil,2011-03-04,67
Captain America: The First Avenger,2011-07-22,66
Born to Be Wild,2011-04-08,66
Fast Five,2011-04-29,66
Small Town Murder Songs,2011-07-01,66
Fly Away,2011-04-15,66
The Woman with the 5 Elephants,2011-07-22,66
POM Wonderful Presents: The Greatest Movie Ever Sold,2011-04-22,66
Carancho,2011-02-11,66
Winter in Wartime,2011-03-18,66
Littlerock,2011-08-12,66
Another Earth,2011-07-22,66
Over Your Cities Grass Will Grow,2011-08-15,66
Stake Land,2011-04-22,66
The Way Back,2011-01-21,66
Puzzle,2011-05-27,66
When We Leave,2011-01-28,65
The Love We Make,2011-11-11,65
If a Tree Falls: A Story of the Earth Liberation Front,2011-06-22,65
"Life, Above All",2011-07-15,65
Dzi Croquettes,2011-11-18,65
The Debt,2011-08-31,65
Puss in Boots,2011-10-28,65
Viva Riva!,2011-06-10,65
Circumstance,2011-08-26,65
My Week with Marilyn,2011-11-23,65
Tucker & Dale vs Evil,2011-09-30,65
Everything Must Go,2011-05-13,65
X-Men: First Class,2011-06-03,65
The Robber,2011-04-29,65
Knuckle,2011-12-02,65
The Swell Season,2011-04-22,65
Tyrannosaur,2011-11-18,65
Hanna,2011-04-08,65
We Are What We Are,2011-02-18,65
In a Better World,2011-04-01,65
The Way,2011-10-07,64
Cold Weather,2011-02-04,64
Dolphin Tale,2011-09-23,64
A Better Life,2011-06-24,64
Orgasm Inc.,2011-02-11,64
Fright Night,2011-08-19,64
The Whale,2011-09-23,64
Kaboom,2011-01-28,64
Sleep Furiously,2011-07-29,64
Conan O'Brien Can't Stop,2011-06-24,64
The Last Rites of Joe May,2011-11-04,64
Lemmy,2011-01-28,64
"Hey, Boo: Harper Lee and 'To Kill a Mockingbird'",2011-05-13,64
"If I Want to Whistle, I Whistle",2011-01-05,64
The Hedgehog,2011-08-19,64
Film Socialisme,2011-06-01,64
Love Crime,2011-09-02,63
The Lincoln Lawyer,2011-03-18,63
Friends with Benefits,2011-07-22,63
My Reincarnation,2011-10-28,63
Vidal Sassoon: The Movie,2011-02-11,63
Klitschko,2011-10-21,63
Eames: The Architect & The Painter,2011-11-18,63
Rio,2011-04-15,63
Revenge of the Electric Car,2011-10-21,63
Aurora,2011-06-29,63
L'amour fou,2011-05-13,63
Amigo,2011-08-19,63
Farmageddon,2011-07-08,62
The Human Resources Manager,2011-03-04,62
True Legend,2011-05-13,62
The Topp Twins: Untouchable Girls,2011-05-13,62
The Conquest,2011-11-11,62
Beautiful Boy,2011-06-03,62
The Help,2011-08-10,62
The Names of Love,2011-06-24,62
The First Beautiful Thing,2011-04-15,62
The Last Mountain,2011-06-03,62
African Cats,2011-04-22,61
Trollhunter,2011-06-10,61
Wrecked,2011-04-01,61
Margaret,2011-09-30,61
El Bulli: Cooking in Progress,2011-07-27,61
Sleeping Beauty,2011-12-02,61
Blackthorn,2011-10-07,61
A Very Harold & Kumar Christmas,2011-11-04,61
Carnage,2011-12-16,61
Oka!,2011-10-14,61
Good Neighbors,2011-07-29,60
Resurrect Dead: The Mystery of the Toynbee Tiles,2011-09-02,60
Our Idiot Brother,2011-08-26,60
Oranges and Sunshine,2011-10-21,60
The Adjustment Bureau,2011-03-04,60
